id,nome,apelido,cidade,estado,regiao,proprietario, capacidade , oficial ,iluminacao
231,André Borges,Caldeirão do Borjão,Coxim,Mato Grosso do Sul,Centro-oeste,M,3500,3500,Não
232,Arena da Paz,Olho do Furacão,Campo Grande,Mato Grosso do Sul,Centro-oeste,P,1200,1200,Não
233,Arthur Marinho,,Corumbá,Mato Grosso do Sul,Centro-oeste,M,5000,5000,Sim
234,Benedito Soares da Mota,Madrugadão,Três Lagoas,Mato Grosso do Sul,Centro-oeste,M,3500,3500,Sim
235,Cacildo Pereira,Toca do Urso,Mundo Novo,Mato Grosso do Sul,Centro-oeste,M,4000,4000,Não
236,Cezário de Freitas,,Rio Verde,Mato Grosso do Sul,Centro-oeste,M,3000,3000,Não
237,Estádio Municipal Aral Moreira ,Aral Moreira,Ponta Porã,Mato Grosso do Sul,Centro-oeste,M,4000,4000,Não
238,Estádio Municipal de Caarapó,Carecão,Caarapó,Mato Grosso do Sul,Centro-oeste,M,1800,1800,Não
239,Estádio Municipal Sotero Zarate,,Sidrolândia,Mato Grosso do Sul,Centro-oeste,M,4000,4000,Sim
240,Estádio Pedro Pedrossian,Morenão,Campo Grande,Mato Grosso do Sul,Centro-oeste,F,24000,29670,Sim
241,Francisco Chaves Filho,Chavinha,Itaporã,Mato Grosso do Sul,Centro-oeste,M,1250,1250,Sim
242,Frédis Saldivar,Douradão,Dourados,Mato Grosso do Sul,Centro-oeste,E,30000,30000,Sim
243,Ijair Tomquelsqui,SERC,Chapadão do Sul,Mato Grosso do Sul,Centro-oeste,P,7000,7000,Não
244,Iliê Vidal,Ninho D'Águia,Rio Brilhante,Mato Grosso do Sul,Centro-oeste,M,5000,5000,Sim
245,Jacques da Luz,Toca do Leão,Campo Grande,Mato Grosso do Sul,Centro-oeste,M,4500,4500,Não
246,Joaquim Faustino Rosa,Carecão,Camapuã,Mato Grosso do Sul,Centro-oeste,M,3000,3000,Não
247,José Cândido dos Santos Viroti,Virotão,Naviraí,Mato Grosso do Sul,Centro-oeste,M,3500,3500,Sim
248,Laerte Paes Coelho,Laertão,Costa Rica,Mato Grosso do Sul,Centro-oeste,M,5000,5000,Sim
249,Luiz Gonzaga Prata Braga,Loucão,Maracaju,Mato Grosso do Sul,Centro-oeste,M,6000,6000,Sim
250,Luiz Saraiva Vieira,Saraivão,Ivinhema,Mato Grosso do Sul,Centro-oeste,M,5000,5000,Sim
251,Municipal de Aquidauana,Noroeste,Aquidauana,Mato Grosso do Sul,Centro-oeste,M,2600,2600,Sim
252,Municipal de Nova Andradina,Andradão,Nova Andradina,Mato Grosso do Sul,Centro-oeste,M,6980,8000,Sim
253,Municipal de Paranaíba,,Paranaíba,Mato Grosso do Sul,Centro-oeste,M,5000,5000,Não
254,Municipal de Terenos,,Terenos,Mato Grosso do Sul,Centro-oeste,M,500,500,Não
255,Municipal de Ribas do Rio Pardo,,Ribas do Rio Pardo,Mato Grosso do Sul,Centro-oeste,M,500,500,Não
256,Vicente Fortunato,Vicentão,Ladário,Mato Grosso do Sul,Centro-oeste,M,3000,3000,Não
257,Antônio Guimarães de Almeida,,Tombos,Minas Gerais,Sudeste,P,3050,3050,Sim
258,Astrogildo Duarte,,Nova Serrana,Minas Gerais,Sudeste,P,1200,1200,Sim
259,Bernardo Rubinger de Queiroz,,Patos de Minas,Minas Gerais,Sudeste,P,8372,10000,Sim
260,Campo do América,,Nepomuceno,Minas Gerais,Sudeste,P,3500,3500,Sim
261,Carlos Costa Monteiro,,Guaxupé,Minas Gerais,Sudeste,M,2471,2471,Sim
262,Castor Cifuentes,Penidão,Nova Lima,Minas Gerais,Sudeste,M,5160,5160,Sim
263,Cícero Paiva,,Sto Antônio do Amparo,Minas Gerais,Sudeste,M,4165,4165,Não
264,Coleto de Paula,,Ituiutaba,Minas Gerais,Sudeste,P,1100,1100,Não
265,Coronel Erasmo Cabral,,Santa Rita do Sapucaí,Minas Gerais,Sudeste,M,2000,3044,Não
266,Dilzon Luís de Melo,Melão,Varginha,Minas Gerais,Sudeste,M,15471,15471,Sim
267,Elias Arbex,,Três Corações,Minas Gerais,Sudeste,M,2500,3000,Sim
268,Fausto Alvim,,Araxá,Minas Gerais,Sudeste,M,5500,7000,Sim
269,Fazendinha,,Ituiutaba,Minas Gerais,Sudeste,P,1800,3000,Sim
270,Irmão Gino Maria Rossi,,Pouso Alegre,Minas Gerais,Sudeste,M,26000,26000,Sim
271,Israel Pinheiro,,Itabira,Minas Gerais,Sudeste,M,5000,5000,Sim
272,João Guido,Uberabão,Uberaba,Minas Gerais,Sudeste,M,10000,16384,Sim
273,João Havelange,Parque do Sabiá,Uberlândia,Minas Gerais,Sudeste,M,53350,56450,Sim
274,João Lamego Neto,Lamegão,Ipatinga,Minas Gerais,Sudeste,M,16000,16000,Sim
275,Joaquim Henrique Nogueira,Arena do Jacaré,Sete Lagoas,Minas Gerais,Sudeste,P,20020,22000,Sim
276,José Flávio de Carvalho,,Itaúna,Minas Gerais,Sudeste,M,1900,3800,Sim
277,José Mammud Abbas,Marmudão,Governador Valadares,Minas Gerais,Sudeste,P,8678,8678,Sim
278,José Maria Melo,Campo do Casimiro,Montes Claros,Minas Gerais,Sudeste,P,5000,5000,Sim
279,Juca Pedro,,Formiga,Minas Gerais,Sudeste,P,2380,3581,Sim
